fw_days_uptime,fw_number_of_users,fw_load_avg_1_min,fw_load_avg_5_min,fw_load_avg_15_min,created_at,reconstruction_error,anomaly,anomaly_score
39,1,0.17,0.22,0.22,2024-09-26 13:17:46.270,4.58165262959172,True,1.0
39,1,0.23,0.44,0.45,2024-09-26 09:30:34.873,4.580398484582287,True,0.9997236566847146
39,1,0.4,0.25,0.23,2024-09-26 13:09:32.573,4.5740066184791495,True,0.9983152474046749
43,1,0.21,0.19,0.21,2024-09-30 10:33:41.030,4.405018096534725,True,0.9610796422329885
44,1,0.31,0.16,0.15,2024-10-01 08:42:00.853,4.223564430446322,True,0.9210974174660017
39,1,0.45,0.54,0.48,2024-09-26 09:29:12.270,3.846838591007181,True,0.8380881429074531
44,1,0.22,0.31,0.23,2024-10-01 09:12:39.187,3.8178199144236165,True,0.8316940519275591
44,1,0.26,0.18,0.22,2024-10-01 10:01:22.060,3.3668511607880167,True,0.7323257974335335
44,1,0.27,0.18,0.17,2024-10-01 10:18:51.787,3.1939597430327753,True,0.6942302126267472
44,1,0.33,0.23,0.19,2024-10-01 10:20:24.830,2.9511668719627573,True,0.6407322626971268
38,1,0.1,0.21,0.38,2024-09-25 15:04:17.770,2.7675179834120853,True,0.6002663338540968
39,1,0.29,0.22,0.18,2024-09-26 08:41:32.427,2.699249335837671,True,0.5852237476628174
39,1,0.14,0.19,0.17,2024-09-26 08:42:17.883,2.58880083404847,True,0.5608870841006641
38,1,0.13,0.23,0.39,2024-09-25 15:03:26.547,2.5044557845862307,True,0.5423021593742666
37,1,0.3,0.21,0.18,2024-09-24 14:23:18.150,2.4493204822292696,True,0.5301534268688687
38,1,0.3,0.26,0.23,2024-09-25 10:37:01.057,2.3696770772151066,True,0.5126044812392277
38,1,0.17,0.23,0.22,2024-09-25 10:42:51.523,2.3629654302306577,True,0.5111256101639078
38,1,0.19,0.22,0.21,2024-09-24 16:04:32.940,2.338669977800519,True,0.5057722532391479
38,1,0.13,0.22,0.22,2024-09-25 10:43:30.893,2.286390316758307,True,0.49425274413475073
38,1,0.2,0.15,0.14,2024-09-25 10:07:01.660,2.240196161198149,True,0.4840741395887971
38,2,0.26,0.26,0.23,2024-09-25 10:35:49.580,2.1843080201498073,True,0.4717595236023931
38,1,0.2,0.2,0.22,2024-09-25 11:30:44.133,2.153498364359294,True,0.4649708011182211
38,1,0.25,0.17,0.15,2024-09-25 10:07:44.040,2.100099857993697,True,0.45320476117119396
38,1,0.07,0.17,0.17,2024-09-25 10:16:44.897,2.024715565705268,True,0.43659428543295353
38,1,0.23,0.2,0.16,2024-09-25 10:10:17.830,2.0007361625856173,True,0.43131056807427004
38,1,0.21,0.22,0.18,2024-09-25 10:14:53.033,1.9386174592938756,True,0.4176230851438665
38,1,0.09,0.23,0.22,2024-09-25 10:30:36.310,1.9254636370788774,True,0.4147247194746448
38,1,0.34,0.28,0.24,2024-09-25 10:32:06.023,1.8775397708439723,True,0.4041649835772534
38,1,0.23,0.26,0.22,2024-09-25 10:27:37.343,1.8734338127030348,True,0.40326026037813756
44,1,0.09,0.15,0.18,2024-10-01 10:33:40.830,1.624430803401272,True,0.34839394381273514
45,1,0.42,0.24,0.24,2024-10-02 10:33:41.933,1.4246599410626353,True,0.304375634940283
45,1,0.27,0.23,0.17,2024-10-02 13:17:55.597,1.4088543059696912,True,0.3008929582410799
45,1,0.2,0.21,0.17,2024-10-02 13:20:05.980,1.4017002770752989,True,0.2993166109706657
45,1,0.34,0.21,0.23,2024-10-02 10:33:14.590,1.3913298559215876,True,0.29703155099676587
45,1,0.25,0.2,0.2,2024-10-02 14:31:28.400,1.3495591339190876,True,0.2878276234499418
45,1,0.09,0.19,0.22,2024-10-02 10:27:29.270,1.3426787925499186,True,0.28631158158081976
45,1,0.21,0.17,0.18,2024-10-02 14:42:36.247,1.3293460498187393,True,0.28337379185118866
45,1,0.22,0.18,0.19,2024-10-02 14:43:20.197,1.28487187666929,True,0.2735741750921597
45,1,0.14,0.22,0.25,2024-10-02 10:22:43.900,1.2473489194258667,True,0.2653062169804858
45,1,0.81,0.53,0.31,2024-10-02 10:10:35.307,1.170318008941388,True,0.24833291881909422
